steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length
76561199396243226,12,3,21050,78,21050,2023-04-29 17:45:51,137472497,schinese,这版本玩人玩不起来，tm没钢筋一点都不好玩,2023-04-29 17:47:13,2023-04-29 17:47:13,False,0,0,0,0,True,False,False,True,,21
76561198982467151,17,2,11804,89,11721,2023-04-29 18:41:08,137471352,schinese,😭回来吧黎明杀机😭;🌟我最骄傲的信仰🌟;⚡历历在目的钢筋⚡;😭眼泪莫名在流淌😭;💥依稀记得天灾钩💥;👍还有给力的图腾👍;⚡把人皇都给打退⚡;✨通宵肝书也不累✨,2023-04-29 17:18:38,2023-04-29 17:18:38,True,1,0,0.5078125,0,True,False,False,True,,79
76561199386344241,40,1,36026,1725,35942,2023-04-30 20:18:24,137471336,schinese,zzz存存弱智一个，就是想让人马是吧。医疗包削了我理解，你他妈图腾也削，这些我都忍了，你刚你也要削是吧。存存垃圾了现在,2023-04-29 17:18:25,2023-04-29 17:18:25,False,1,0,0.51327437162399292,0,True,False,False,True,,59
76561199466632573,1,1,141,141,79,2023-05-01 03:35:33,137471258,schinese,虽然是最早的农场主大战无良偷电游客，但是却没后来居上的游戏，推荐打五折或者四折时候入手，还有，傻逼制作组能不能把心跳声音调大点，外放的话贴脸了才能听得见，上一次钢筋改版改成了坚忍状态有好有坏，坏处是原本如果还能溜很久那么变成了深度伤口就会固定时间倒地，好处是技术一般的情况下或者走投无路了能多抗一刀，但是改成必须被救一次才能用基本废了，哪怕多加点疲劳时间也比只能用两次好啊,2023-04-29 17:16:13,2023-04-29 17:16:13,True,0,0,0.487804889678955078,0,True,False,False,True,,186
76561199227274192,2,1,1650,1188,1423,2023-04-29 22:30:07,137470790,schinese,抄袭D5人格,2023-04-29 17:04:47,2023-04-29 17:04:47,False,4,3,0.505016744136810303,0,True,False,False,True,,6
76561198169386474,21,1,61033,1268,60372,2023-05-01 02:47:32,137469965,schinese,答辩环境 建议游戏停服,2023-04-29 16:43:08,2023-04-29 16:43:08,False,0,1,0,0,True,False,False,True,,11
76561198396221504,20,1,106553,2018,106390,2023-04-30 16:53:52,137469527,tchinese,good,2023-04-29 16:32:04,2023-04-29 16:32:04,True,0,0,0,0,True,False,False,True,,4
76561199203657578,6,1,18986,2281,18932,2023-04-29 20:46:00,137469399,schinese,emmm,2023-04-29 16:28:24,2023-04-29 16:28:24,True,1,0,0.523809552192687988,0,True,False,False,True,,4
76561199121397958,5,1,14876,2297,14489,2023-04-30 23:35:24,137469171,schinese,答辩游戏,2023-04-29 16:21:34,2023-04-29 16:21:34,False,0,0,0,0,True,False,False,True,,4
76561199499657060,2,1,1394,1394,1103,2023-04-30 20:32:39,137469012,schinese,就好这口,2023-04-29 16:17:30,2023-04-29 16:17:30,True,0,0,0,0,True,False,False,True,,4
