steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561199259762010,14,5,422,240,422,2023-05-02 19:47:52,137672551,schinese,我的评价是：好,2023-05-02 19:48:33,2023-05-02 19:48:33,True,0,0,0,0,True,False,False,True,,7,False
76561199479284643,2,1,551,551,383,2023-05-02 22:30:42,137672305,schinese,123,2023-05-02 19:41:46,2023-05-02 19:41:46,True,0,0,0,0,True,False,False,True,,3,False
76561199183578466,2,4,2321,1866,2321,2023-05-02 19:40:06,137672258,schinese,nb;,2023-05-02 19:40:09,2023-05-02 19:40:09,True,0,0,0,0,False,False,False,True,,3,False
76561199416995255,3,2,823,823,802,2023-05-02 19:58:03,137672162,schinese,有意思,2023-05-02 19:37:10,2023-05-02 19:37:10,True,0,0,0,0,True,False,False,True,,3,False
76561199477297441,1,1,23,23,23,2023-05-01 11:24:48,137672113,schinese,没有感觉,2023-05-02 19:35:47,2023-05-02 19:35:47,True,0,0,0,0,True,False,False,True,,4,False
76561199389596154,2,1,753,753,632,2023-05-02 21:38:24,137672104,schinese,好玩,2023-05-02 19:35:36,2023-05-02 19:35:36,True,0,0,0,0,True,False,False,True,,2,False
76561199160417273,23,1,37307,6326,37307,2023-05-02 19:51:40,137671982,schinese,玩多了就是。。。孤独,2023-05-02 19:31:47,2023-05-02 19:31:47,True,0,0,0,0,True,False,False,True,,10,False
76561199494313769,7,2,344,344,246,2023-05-03 00:43:33,137671754,schinese,作为一个新手，我想说，一定要看好自己的血量！还有打怪要穿装备啊啊啊啊啊！,2023-05-02 19:27:37,2023-05-02 19:27:37,True,2,0,0.545454561710357666,0,True,False,False,True,,36,False
76561198943246433,34,9,2626,1924,2626,2023-05-02 18:31:17,137671724,schinese,好玩,2023-05-02 19:27:12,2023-05-02 19:27:12,True,0,0,0,0,True,False,False,True,,2,False
76561198860656039,108,30,299,299,299,2023-05-02 18:47:06,137670866,schinese,这个是什么？吃一口，啊掉血。那个是什么？吃一口，啊掉血。,2023-05-02 19:12:41,2023-05-02 19:12:41,True,0,1,0,0,True,False,False,True,,28,False
76561199489326345,3,1,210,210,210,2023-05-02 18:44:57,137669804,schinese,求打赏,2023-05-02 18:54:46,2023-05-02 18:54:46,True,1,0,0.502074718475341797,0,True,False,False,True,,3,False
76561199199287362,8,4,500,500,500,2023-05-02 12:31:00,137669688,schinese,你好,陌生人,请问你可以给这个可怜的猫猫一些steam点数吗？ 它已经3年没有吃饭了;　　　　 　　 ＿＿;　　　 　　／＞　　フ;　　　 　　| 　_　 _ l;　 　　 　／` ミ＿xノ;　　 　 /　　　 　 |;　　　 /　 ヽ　　 ?;　 　 │　　|　|　|;　／￣|　　 |　|　|;　| (￣ヽ＿_ヽ_)__);　＼二つ;,2023-05-02 18:52:53,2023-05-02 18:52:53,True,1,0,0.458333343267440796,0,True,False,False,True,,169,False
76561199348720055,3,3,289,289,289,2023-05-01 21:16:11,137669541,schinese,666,2023-05-02 18:48:13,2023-05-02 18:48:13,True,0,0,0,0,True,False,False,True,,3,False
76561199211236268,3,1,2271,1138,2190,2023-05-02 23:16:12,137669442,schinese,很好玩,2023-05-02 18:45:27,2023-05-02 18:45:27,True,0,0,0,0,True,False,False,True,,3,False
76561199483078571,8,3,669,669,669,2023-05-01 17:09:08,137669055,schinese,nb,2023-05-02 18:33:22,2023-05-02 18:33:22,True,0,0,0,0,True,False,False,True,,2,False
76561199465900241,6,1,341,341,269,2023-05-02 19:45:56,137669020,schinese,好玩,2023-05-02 18:32:12,2023-05-02 18:32:12,True,0,0,0,0,True,False,False,True,,2,False
76561199403375200,5,2,5777,4320,5777,2023-05-02 18:23:31,137668905,schinese,好玩,2023-05-02 18:28:10,2023-05-02 18:28:10,True,0,0,0,0,True,False,False,True,,2,False
76561199369786594,5,5,1885,1885,1705,2023-05-03 00:02:17,137668689,schinese,4.8买的，带我的大佬说4.8买的有病毒，大家记得退款回头买原价的。,2023-05-02 18:21:21,2023-05-02 18:21:21,True,1,0,0.523809552192687988,0,True,False,False,True,,34,False
76561199063121908,15,5,192,192,41,2023-05-02 22:28:32,137668619,schinese,老玩家了，买个情怀,2023-05-02 18:18:25,2023-05-02 18:18:25,True,0,0,0,0,True,False,False,True,,9,False
